"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","extract_protocol_ch1.2","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","age:ch1","c1 chip id:ch1","cell type:ch1","experiment_sample_name:ch1","tissue:ch1"
"GSM1658310","healthy cortex cell 410","GSM1658310","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485951","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996270","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658310/suppl/GSM1658310_nochipID13.C17.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658311","healthy cortex cell 411","GSM1658311","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485952","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996271","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658311/suppl/GSM1658311_nochipID13.C21.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658312","healthy cortex cell 412","GSM1658312","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485953","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996272","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658312/suppl/GSM1658312_nochipID13.C25.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658313","healthy cortex cell 413","GSM1658313","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485954","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996273","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658313/suppl/GSM1658313_nochipID13.C28.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658314","healthy cortex cell 414","GSM1658314","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485955","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996274","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658314/suppl/GSM1658314_nochipID13.C32.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658315","healthy cortex cell 415","GSM1658315","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485956","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996275","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658315/suppl/GSM1658315_nochipID13.C36.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658316","healthy cortex cell 416","GSM1658316","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485957","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996276","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658316/suppl/GSM1658316_nochipID13.C45.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658317","healthy cortex cell 417","GSM1658317","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485958","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996277","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658317/suppl/GSM1658317_nochipID13.C46.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658318","healthy cortex cell 418","GSM1658318","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485959","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996278","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658318/suppl/GSM1658318_nochipID13.C48.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658319","healthy cortex cell 419","GSM1658319","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485960","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996279","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658319/suppl/GSM1658319_nochipID13.C50.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658320","healthy cortex cell 420","GSM1658320","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485961","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996280","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658320/suppl/GSM1658320_nochipID13.C55.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658321","healthy cortex cell 421","GSM1658321","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485962","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996281","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658321/suppl/GSM1658321_nochipID13.C57.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
"GSM1658322","healthy cortex cell 422","GSM1658322","Public on May 20 2015","Apr 15 2015","May 15 2019","SRA","1","Brain","Homo sapiens","tissue: cortex","cell type: fetal_quiescent","age: prenatal 16-18 W","c1 chip id: nochipID13","experiment_sample_name: FB_S3","total RNA","C1 autoprep standard protocol","C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol","Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.","9606","Single cell from healthy human cortex","Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).","Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).","Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).","Genome_build: hg19","Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample","GPL15520","Martin,,Enge","martin.enge@ki.se","Dep of Oncology-Pathology","Karolinska Institute","CCK, Z4","Stockholm","S-171 76","Sweden","0","Illumina MiSeq","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03485963","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX996282","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658322/suppl/GSM1658322_nochipID13.C58.csv.gz","prenatal 16-18 W","nochipID13","fetal_quiescent","FB_S3","cortex"
